id,state,year,type,party_won,party_won2,party_umbrella,majority,majority_perc,name,pcode,scode,total_votes
1,pl,2004,s,MCA,BN,BN,2192,39.1918,Titi Tinggi,p1,n1,5593
2,pl,2008,s,MCA,BN,BN,1814,29.8945,Titi Tinggi,p1,n1,6068
3,pl,2013,s,MCA,BN,BN,1486,19.6665,Titi Tinggi,p1,n1,7556
4,pl,2004,s,UMNO,BN,BN,1871,35.8292,Beseri,p1,n2,5222
5,pl,2008,s,UMNO,BN,BN,1111,21.1016,Beseri,p1,n2,5265
6,pl,2013,s,UMNO,BN,BN,540,7.9098,Beseri,p1,n2,6827
7,pl,2004,s,UMNO,BN,BN,2590,38.105,Chuping,p1,n3,6797
8,pl,2008,s,UMNO,BN,BN,2803,38.392,Chuping,p1,n3,7301
9,pl,2013,s,UMNO,BN,BN,2876,33.191,Chuping,p1,n3,8665
10,pl,2004,s,UMNO,BN,BN,1603,35.1304,Mata Ayer,p1,n4,4563
11,pl,2008,s,UMNO,BN,BN,1622,34.7919,Mata Ayer,p1,n4,4662
12,pl,2013,s,UMNO,BN,BN,1989,35.6771,Mata Ayer,p1,n4,5575
13,pl,2004,s,UMNO,BN,BN,578,9.5332,Santan,p1,n5,6063
14,pl,2008,s,UMNO,BN,BN,712,11.2108,Santan,p1,n5,6351
15,pl,2013,s,UMNO,BN,BN,1084,14.5954,Santan,p1,n5,7427
16,pl,2004,s,UMNO,BN,BN,1508,22.3176,Bintong,p2,n6,6757
17,pl,2008,s,UMNO,BN,BN,2110,26.8311,Bintong,p2,n6,7864
18,pl,2013,s,UMNO,BN,BN,1237,13.0747,Bintong,p2,n6,9461
19,pl,2004,s,UMNO,BN,BN,1584,24.3842,Sena,p2,n7,6496
20,pl,2008,s,UMNO,BN,BN,1869,23.9831,Sena,p2,n7,7793
21,pl,2013,s,UMNO,BN,BN,1924,20.4463,Sena,p2,n7,9410
22,pl,2004,s,MCA,BN,BN,3564,49.0841,Indera Kayangan,p2,n8,7261
23,pl,2008,s,MCA,BN,BN,1263,19.9779,Indera Kayangan,p2,n8,6322
24,pl,2013,s,PKR,PKR,OPP,1092,13.6808,Indera Kayangan,p2,n8,7982
25,pl,2004,s,UMNO,BN,BN,2824,44.6412,Kuala Perlis,p2,n9,6326
26,pl,2008,s,UMNO,BN,BN,2521,38.6419,Kuala Perlis,p2,n9,6524
27,pl,2013,s,UMNO,BN,BN,1384,16.3362,Kuala Perlis,p2,n9,8472
28,pl,2004,s,UMNO,BN,BN,1327,21.2116,Kayang,p2,n10,6256
29,pl,2008,s,UMNO,BN,BN,1508,23.4052,Kayang,p2,n10,6443
30,pl,2013,s,UMNO,BN,BN,664,8.3166,Kayang,p2,n10,7984
31,pl,2004,s,UMNO,BN,BN,1585,25.6307,Pauh,p3,n11,6184
32,pl,2008,s,UMNO,BN,BN,2572,39.4055,Pauh,p3,n11,6527
