id,year,parl_code,name,party_code,votes
1,2004,P1,Datuk Seri Azmi Khalid,UMNO,18322
2,2004,P1,Wan Kharizal Wan Khazim,PAS,9058
3,2004,P2,Datuk Radzi Sheikh Ahmad,UMNO,22498
4,2004,P2,Ishar Saad,PAS,9950
5,2004,P3,Datuk Seri Syed Razlan Syed Putra Jamalullail,UMNO,17367
6,2004,P3,Datuk Dr Haron Din,PAS,14124
7,2004,P4,Datuk Abu Bakar Taib,UMNO,16510
8,2004,P4,Zubir Ahmad,PAS,5738
9,2004,P5,Datuk Abdul Rahman Ariffin,UMNO,19123
10,2004,P5,Idris Ahmad,PAS,16981
11,2004,P6,Datuk Mohd Johari Baharom,UMNO,26657
12,2004,P6,Dr Abdul Isa Ismail,PAS,12945
13,2004,P7,Datuk Ghazali Ibrahim,UMNO,14776
14,2004,P7,Zawawi Haji Ahmad,PAS,12604
15,2004,P8,Datuk Abdul Rahman Ibrahim,UMNO,29740
16,2004,P8,Mahfuz Omar,PAS,22440
17,2004,P9,Datuk Chor Chee Heung,MCA,28379
18,2004,P9,Siti Nor Abdul Hamid,PKR,13864
19,2004,P10,Hashim Jahaya,UMNO,36707
20,2004,P10,Mohamed Sabu,PAS,26493
21,2004,P11,MD Rozai Shafian,UMNO,24380
22,2004,P11,Dr Mohd Hayati Othman,PAS,24430
23,2004,P12,Datuk Badruddin Amirudin,UMNO,30154
24,2004,P12,Che bin Arshad,PAS,19749
25,2004,P13,Datuk Dr Wan Azmi Wan Ariffin,UMNO,15357
26,2004,P13,Azizan Abdul Razak,PAS,15038
27,2004,P14,Datuk Zainuddin Maidin,UMNO,29607
28,2004,P14,Saiful Izham Ramli,PKR,14162
29,2004,P15,Datuk Mahadzir Mohd Khir,UMNO,36067
30,2004,P15,Zamri Yusof,PKR,18565
31,2004,P16,Datuk Dr Mashitah Ibrahim,UMNO,32661
32,2004,P16,Taib Azamudden Md Taib,PAS,28432
33,2004,P17,Lim Bee Kau,MCA,26269
34,2004,P17,Saifuddin Nasution Ismail,PKR,15953
35,2004,P18,Datuk Paduka Abdul Kadir Sheikh Fadzir,UMNO,22556
36,2004,P18,Alwi Mohamed Yusop,PKR,14558
