id,negeri_code,parliament_code,parliament_code_num,state_code,state_code_num,name
1,pl,P1,1,N1,1,Titi Tinggi
2,pl,P1,1,N2,2,Beseri
3,pl,P1,1,N3,3,Chuping
4,pl,P1,1,N4,4,Mata Ayer
5,pl,P1,1,N5,5,Santan
6,pl,P2,2,N6,6,Bintong
7,pl,P2,2,N7,7,Sena
8,pl,P2,2,N8,8,Indera Kayangan
9,pl,P2,2,N9,9,Kuala Perlis
10,pl,P2,2,N10,10,Kayang
11,pl,P3,3,N11,11,Pauh
12,pl,P3,3,N12,12,Tambun Tulang
13,pl,P3,3,N13,13,Guar Sanji
14,pl,P3,3,N14,14,Simpang Empat
15,pl,P3,3,N15,15,Sanglang
16,kd,P4,4,N1,1,Ayer Hangat
17,kd,P4,4,N2,2,Kuah
18,kd,P5,5,N3,3,Kota Siputeh
19,kd,P5,5,N4,4,Ayer Hitam
20,kd,P6,6,N5,5,Bukit Kayu Hitam
21,kd,P6,6,N6,6,Jitra
22,kd,P7,7,N7,7,Kuala Nerang
23,kd,P7,7,N8,8,Pedu
24,kd,P8,8,N9,9,Bukit Lada
25,kd,P8,8,N10,10,Bukit Pinang
26,kd,P8,8,N11,11,Derga
27,kd,P9,9,N12,12,Bakar Bata
28,kd,P9,9,N13,13,Kota Darulaman
29,kd,P9,9,N14,14,Alor Mengkudu
30,kd,P10,10,N15,15,Anak Bukit
31,kd,P10,10,N16,16,Kubang Rotan
32,kd,P10,10,N17,17,Pengkalan Kundor
33,kd,P11,11,N18,18,Tokai
34,kd,P11,11,N19,19,Sungai Tiang
35,kd,P12,12,N20,20,Sungai Limau
36,kd,P12,12,N21,21,Guar Chempedak
37,kd,P12,12,N22,22,Gurun
38,kd,P13,13,N23,23,Belantek
39,kd,P13,13,N24,24,Jeneri
40,kd,P14,14,N25,25,Bukit Selambau
41,kd,P14,14,N26,26,Tanjong Dawai
42,kd,P15,15,N27,27,Pantai Merdeka
43,kd,P15,15,N28,28,Bakar Arang
44,kd,P15,15,N29,29,Sidam
45,kd,P16,16,N30,30,Bayu
46,kd,P16,16,N31,31,Kupang
47,kd,P16,16,N32,32,Kuala Ketil
