id|year|parl_code|state_code|name|party_code|votes
1|2004|P1|N1|Loh Yoon Foo|MCA|3668
2|2004|P1|N1|Ko Chu Liang|PKR|1476
3|2004|P1|N2|Datuk Zahidi Zainul Abidin|UMNO|3492
4|2004|P1|N2|Mohd Anuar Mohd Tahir|PAS|1621
5|2004|P1|N3|Mansor Jusoh|UMNO|4632
6|2004|P1|N3|Mohd Ali Puteh|PAS|2042
7|2004|P1|N4|Khairi Hassan|UMNO|3041
8|2004|P1|N4|Suwardi Yaacob|PAS|1438
9|2004|P1|N5|Sabry Ahmad|UMNO|3284
10|2004|P1|N5|Zolkharnain Abidin|PAS|2706
11|2004|P2|N6|Rusli Mat Husin|UMNO|4076
12|2004|P2|N6|Abdul Zakaria|PAS|2568
13|2004|P2|N7|Azihani Ali|UMNO|4001
14|2004|P2|N7|Ahmad Adnan Fadzil|PAS|2417
15|2004|P2|N8|Oui Ah Lan|MCA|5243
16|2004|P2|N8|Khoo Yang Chong|PKR|1679
17|2004|P2|N9|Bakar Saad|UMNO|4495
18|2004|P2|N9|Mohd Yusof Ubi @ Madarsa|PKR|1671
19|2004|P2|N10|Azam Rashid|UMNO|3705
20|2004|P2|N10|Ku Mahmood Ku Ismail|PAS|2378
21|2004|P3|N11|Datuk Abu Bakar Ismail|UMNO|3795
22|2004|P3|N11|Abu Bakar Ali|PAS|2210
23|2004|P3|N12|Datuk Seri Shahidan Kassim|UMNO|4422
24|2004|P3|N12|Datuk Dr Harun Din|PAS|2680
25|2004|P3|N13|Japeria Othman|UMNO|3378
26|2004|P3|N13|Ahmad Ali|PAS|3233
27|2004|P3|N14|Zahari Bakar|UMNO|2795
28|2004|P3|N14|Dr Che Rosli Che Mat|PAS|2519
29|2004|P3|N15|Datuk Mastika Junaidah Husin|UMNO|3176
30|2004|P3|N15|Hashim Jasin|PAS|3221
31|2004|P4|N1|Datuk Md Hassan Bulat|UMNO|7597
32|2004|P4|N1|Yusof Ismail|PAS|4794
33|2004|P4|N2|Nawawi Ahmad|UMNO|8065
34|2004|P4|N2|Mazlan Ahmad|PAS|1890
35|2004|P5|N3|Abu Hassan Sarif|UMNO|8614
36|2004|P5|N3|Abdul Wahab Rahman|PAS|7041
37|2004|P5|N4|Abd Ghani Ahmad|UMNO|10759
38|2004|P5|N4|Othman Aziz|PAS|9899
39|2004|P6|N5|Khalidah Abidah Ayob|UMNO|12945
40|2004|P6|N5|Nanyan Saad|PAS|5973
41|2004|P6|N6|Prof Datuk Dr Othman Ishak|UMNO|13297
42|2004|P6|N6|Dr Rohani Abdul Muttalib|PAS|7541
43|2004|P7|N7|Datuk Dr Affifuddin Omar|UMNO|7746
44|2004|P7|N7|Muhd Yusoff @Munir b Zakaria|PAS|6436
45|2004|P7|N8|Datuk Mahdzir Khalid|UMNO|7684
46|2004|P7|N8|Wan Jaafar Wan Ahmad|PAS|5785
47|2004|P8|N9|Ariffin Man|UMNO|10656
48|2004|P8|N9|Shiekh Ismail Khamis|PAS|7887
49|2004|P8|N10|Datuk Ahmad Lebai Sudin|UMNO|8699
50|2004|P8|N10|Md Roshidi Osman|PAS|9636
51|2004|P8|N11|Cheung Khai Yeun|GERAKAN|10827
