id,year,parl_code,state_code,won_party_code,won_remarks,total,total_electionday,spoilt,unreturned_ballot,race_malay,race_indian,race_chinese,race_others,race_iban,race_orgulu,race_bidayuh,race_malanau,race_muslimbumiputera,race_nonmuslimbumiputera,pooling_district,analysis
1,2004,P1,N1,MCA,,6887,5593,253,196,71,3,25,0,0,0,0,0,0,0,"Jalan Padang Besar, Titi Tinggi, Felda Mata Ayer, Kampong Kastam, Padang Besar, Felda Rimba Mas,",
2,2004,P1,N2,UMNO,,6645,5222,109,0,75,1,23,1,0,0,0,0,0,0,"Pekan Baru Kaki Bukit, Pekan Lama Kaki Bukit, Pekan Sayor, Tasoh, Beseri, Tunjong,",
3,2004,P1,N3,UMNO,,7802,6797,122,1,85,2,4,10,0,0,0,0,0,0,"Panggas, Sungai Buloh, Kilang Gula Chuping, Felda Chuping, Guar Nangka, Kubang Perun,",
4,2004,P1,N4,UMNO,,5557,4563,56,28,90,2,4,4,0,0,0,0,0,0,"Tok Kaya Man, Ngulang, Kampong Gial, Hutan Temin,",
5,2004,P1,N5,UMNO,,7008,6063,73,0,99,0,1,0,0,0,0,0,0,0,"Kampong Darat, Paya, Alor Tampang, Padang Lati, Padang Pauh, Santan,",
6,2004,P2,N6,UMNO,,7850,6757,107,6,96,1,3,0,0,0,0,0,0,0,"Nesam, Abi, Kechor, Hutan Melintang, Telok Kachang, Wang Bintong",
7,2004,P2,N7,UMNO,,7979,6496,72,6,82,4,11,3,0,0,0,0,0,0,"Kampong Salang, Repoh, Alor Lanchang, Taman Indera, Tok Peduka, Padang Bohor, Padang Petani,",
8,2004,P2,N8,MCA,,9314,7261,304,35,47,5,47,1,0,0,0,0,0,0,"Padang Katong, Derma, Pekan Lama Kangar, Pengkalan Assam, Pekan Baru Kangar, Seberang Bakau, Ganding,",
9,2004,P2,N9,UMNO,,8024,6326,155,5,77,0,22,1,0,0,0,0,0,0,"Seberang Alor, Hujong Tanjong, Kepala Batas, Seberang Tok Pi, Padang Besar Selatan,",
10,2004,P2,N10,UMNO,,7349,6256,118,55,95,1,3,2,0,0,0,0,0,0,"Titi Tok Bandar, Bangsal Lebah, Temak, Behor Lateh, Gunong Utan Aji, Hujung Batu,",
11,2004,P3,N11,UMNO,,7601,6184,179,0,75,6,18,2,0,0,0,0,0,0,"Guar Gajah, Padang Siding, Pauh, Istana, Pekan Arau, Kubang Paya,",
12,2004,P3,N12,UMNO,,8447,7208,101,5,85,2,4,9,0,0,0,0,0,0,"Kubang Gajah, Jejawi, Kampong Banat, Kampong Surau, Mengkuang Layar, Tambun Tulang,",
13,2004,P3,N13,UMNO,,7765,6708,97,0,98,0,2,0,0,0,0,0,0,0,"Guar Sanji, Kampong Sena, Behor Mentalon, Chemumar, Serdang,",
14,2004,P3,N14,UMNO,,6554,5447,133,0,88,0,12,0,0,0,0,0,0,0,"Sungai Berembang, Behor Mali, Sungai Bharu, Simpang Empat Che Kasim, Lat Seribu, Banir Tembus,",
15,2004,P3,N15,PAS,,7700,6408,11,0,90,0,9,0,0,0,0,0,0,0,"Bongor Kudong, Bunga Mas, Sungai Padang, Simpang Sanglang, Padang Keria, Kuala Sanglang,",
16,2004,P4,N1,UMNO,,15213,12659,262,6,94,3,3,0,0,0,0,0,0,0,"Teriang, Ewa, Padang Lalang, Kilim, Ladang Sungai Raya, Wang Tok Rendong, Bendang Baru, Ulu Melaka, Nyior Chabang, Padang Kandang, Padang Matsirat, Kampong Atas, Bukit Kemboja, Makam Mahsuri,",
17,2004,P4,N2,UMNO,,12767,10186,197,34,85,2,13,0,0,0,0,0,0,0,"Kampong Gelam, Kedawang, Pantai Chenang, Temonyong, Kampong Bayas, Sungai Menghulu, Kelibang, Dundong, Pulau Dayang Bunting, Lubok Chempedak, Kampong Tuba, Kuah,",
18,2004,P5,N3,UMNO,,19209,15884,229,0,91,0,8,1,0,0,0,0,0,0,"Kampong Bahagia, Kampong Pering, Kampong Kandis, Pekan Kodiang, Kampong Kodiang, Kampong Siputeh, Megat Dewa, Bukit Hantu, Mesjid Paya, Batu 4 Jalan Sanglang, Manggol, Tok Kepak, Sungai Korok, Batas Bengkok, Kampong Sanglang, Kerpan, Kuala Sanglang,",
19,2004,P5,N4,UMNO,,24939,20935,277,0,89,0,9,2,0,0,0,0,0,0,"Padang Sera, Kampong Melele, Kampong Putat, Kampong Imam, Telaga Batu, Padang Perahu, Kampong Pida, Kampong Gurindam, Alor Biak, Kubang Sepat, Lana Bulu, Permatang Paku, Matang Bonglai, Jerlun, Lubok Pinang, Pekan Ayer Hitam, Kampong Gandai, Kubang Nipah,",
20,2004,P6,N5,UMNO,,23463,20333,395,1020,88,2,9,1,0,0,0,0,0,0,"Bukit Kayu Hitam, Felda Bukit Tangga, Temin, Felda Laka Selatan, Felda Batu Lapan, Pekan Lama Changlun, Pekan Bahru Changlun, Sintok, Kampong Darat, Kubang Pasu, Guar Napai, Husba, Kampong Napoh, Binjal, Kampong Bemban, Pulau Pisang, Pekan Tunjang, Pulau Timbol, Padang Limau, Pulau Nyior, Kampong Pulau Ketam, Tunjang Stesyen,",
21,2004,P6,N6,UMNO,,26131,21269,372,59,81,6,12,1,0,0,0,0,0,0,"Paya Kemunting, Kampong Kuluang, Malau, Padang Panjang, Wang Tepus, Taman Jitra Jaya, Taman Rasa Sayang, Taman Pasu, Kampong Telok Nibong, Kampong Batu 13, Taman Jitra, Pantai Halban, Kampong Tok Kesop, Tanah Merah, Kampong Telok Malik, Kampong Naga, Tanjong Pauh, Taman Mahsuri, Alor Rambai, Lubok Batu, Bukit Tinggi, Kepala Batas,",
22,2004,P7,N7,UMNO,,16766,14426,244,6,96,1,2,1,0,0,0,0,0,0,"Padang Sanai, Kubang Palas, Gula Padang Terap, Padang Nyior, Kampong Pisang, Kampong Tanjong, Belimbing, Tualak, Kampong Bendang, Perik, Kurong Hitam, Pekan Kuala Nerang, Rambutan, Kampong Nai Teh, Bukit Tembaga, Kampong Barokhas, Nako Nambua,",
23,2004,P7,N8,UMNO,,15646,13657,188,0,87,1,1,11,0,0,0,0,0,0,"Kuala Tekai, Kampong Musa, Pedu, Tong Pelu, Kampong Mesjid, Belukar Luas, Kubang Bemban, Tandop Besar, Naka, Lamdin, Nami, Felda Lubok Merbau A, Felda Lubok Merbau B, Kampong Mahawangsa Pdg. Terap,",
24,2004,P8,N9,UMNO,,22201,18848,305,0,88,2,9,1,0,0,0,0,0,0,"Kedundong, Derang, Kampong Kejal, Gajah Mati, Bukit Larek, Pekan Bahru Pokok Sena, Pekan Lama Pokok Sena, Kampong Kolon, Jabi, Telaga Mas, Tanjong Musang, Kebun 500, Kepala Bendang, Kampong Menerong, Kampong Padang, Kampong Paya, Kampong Nawa, Bukit Payong, Kubang Leret, Kampong Bukit, Kuala Lanjut,",
25,2004,P8,N10,PAS,,22617,18479,144,0,92,1,7,0,0,0,0,0,0,0,"Paya Lengkuas, Bukit Pinang, Titi Baru, Kubang Lintah, Kampong Masjid, Taman Bayu, Kampong Maseh, Lepai, Kampong Sungai Mati, Limbong, Kampong Alor Setol, Pondok Langgar, Kampong Langgar B, Telok Jamat, Alor Senibong, Tualang,",
26,2004,P8,N11,GERAKAN,,21254,15677,185,0,53,5,42,0,0,0,0,0,0,0,"Taman Pknk, Alor Malai, Kampong Telok Sena, Jalan Stadium, Kanchut, Sentosa, Tambang Badak, Jalan Ambar, Derga, Jalan Sheriff, Alor Segamat, Taman Mewah, Taman Nuri, Taman Intan, Tanjong Seri, Taman Derga Jaya,",
